DRAWING,00101101110101000
SPEAK,00101110110101000
EVENING,00101100110101000
MOVED,00101111000101000
ENTERED,00101101000101000
CROWD,00101110001001000
CRIED,00101100001001000
BROUGHT,00101110110001000
LEAVE,00101111100001000
ANATOLE,00101100001110000
ADDED,00101111111010000
DOES,00101101111010000
MORNING,00101100111010000
WOUNDED,00101110110010000
ENEMY,00101100110010000
NEAR,00101110100010000
RECEIVED,00101110101100000
POWER,00101110001100000
REALLY,00101100001100000
GOT,00101111000100000
ROAD,00101101000100000
TAKING,00101110000100000
ORDERS,00101110100000000
THEMSELVES,00101100100000000
MOTHER,00101111000000000
ASK,00101101000000000
UNDERSTOOD,001100001011111111
FIRE,001100110101111111
LAY,001100111001111111
CANT,001100011001111111
HAPPY,001100011010111111
STOPPED,001100001010111111
ACTION,001100000100011111
NEXT,001100111000011111
WHITE,001100011000011111
PASSED,001100101111101111
TALKING,001100001101101111
WISHED,001100100101101111
TRIED,001100000110101111
SEVERAL,001100111010101111
FELLOW,001100011010101111
ROSE,001100101010101111
SINCE,001100001010101111
SOLDIER,001100110100101111
MOVEMENT,001100010100101111
END,001100110111001111
WISH,001100010111001111
BESIDE,001100000110001111
EACH,001100010100001111
ANYONE,001100100100001111
TURNING,001100011011110111
SMALL,001100110011110111
AH,001100110101110111
WANTED,001100010101110111
NOTICED,001100000101110111
GIVEN,001100111011010111
REMAINED,001100101011010111
DEATH,001100001011010111
ARMS,001100001110010111
IMPOSSIBLE,001100010011111011
LONGER,001100100011111011
HEART,001100000011111011
ARM,001100110101111011
NOR,001100010101111011
TILL,001100111111011011
FORWARD,001100110011011011
HOME,001100010011011011
PAST,001100100011011011
AROUND,001100000011011011
FEW,001100001101011011
WOMAN,001100110101011011
POSSIBLE,001100100110011011
BECAME,001100000110011011
FAR,001100100010011011
LARGE,001100000010011011
SEEING,001100010101101011
THOUSAND,001100100101101011
MATTER,001100110001101011
PIERRES,001100010001101011
HAPPENED,001100100001101011
CANNOT,001100000001101011
SPOKE,001100111111001011
NEWS,001100011111001011
DINNER,001100111101001011
TEARS,001100011101001011
WORK,001100101101001011
SILENT,001100101010001011
TRYING,001100001010001011
READY,001100100010001011
CONVERSATION,001100111100001011
FRIEND,001100011100001011
RUSSIA,001100101101010011
BETTER,001100001101010011
GONE,001100011111100011
FIND,001100101111100011
SET,001100001111100011
SOUND,001100000111000011
FULL,001100111101000011
COMING,001100011101000011
STRANGE,001100011001000011
BOLKONSKI,001100100001000011
STANDING,001100111010000011
ITSELF,001100011010000011
ADJUTANT,001100111100000011
FACES,001100001111111101
WORLD,001100111011111101
HISTORY,001100110011111101
MET,001100010011111101
SPEAKING,001100100011111101
TERRIBLE,001100000011111101
HONOR,001100101101111101
FREE,001100001001111101
ALMOST,001100110001111101
FACT,001100100110111101
HAIR,001100000110111101
ANSWERED,001100111101101101
GLANCED,001100111000101101
ELSE,001100011000101101
TIMES,001100111111001101
SMILED,001100001011001101
KEPT,001100011010001101
SOUL,001100110010001101
WONT,001100111010110101
TONE,001100011010110101
ABOVE,001100111000110101
CAUSE,001100011000110101
MYSELF,001100101000110101
REPLY,001100001000110101
REACHED,001100010110010101
AFRAID,001100100110010101
RETURNED,001100000110010101
VILLAGE,001100111010010101
SMILING,001100011010010101
RUSSIANS,001100000010100101
DIFFERENT,001100111100100101
REPEATED,001100011100100101
STATE,001100101100100101
HELP,001100001100100101
FIELD,001100011000100101
HELD,001100010111111001
VOICES,001100100111111001
LESS,001100000111111001
ANSWER,001100101011111001
LIGHT,001100111101111001
KIND,001100011101111001
MADEMOISELLE,001100101101111001
HEAR,001100001101111001
DE,001100111001111001
DOING,001100000110111001
OFTEN,001100101010111001
TOGETHER,001100001010111001
LOST,001100110010111001
WOMEN,001100010010111001
QUICKLY,001100001111101001
CERTAIN,001100100111101001
STEPS,001100000111101001
HELNE,001100110011101001
NECESSARY,001100010011101001
COLD,001100100011101001
EMPERORS,001100000100101001
HALF,001100110000101001
LISTENED,001100010000101001
STAFF,001100100000101001
AIR,001100000000101001
FOLLOWED,001100111101001001
SIDES,001100011101001001
HUSBAND,001100101101001001
USED,001100001101001001
FAMILY,001100100101001001
ALPATYCH,001100100001001001
BAGRATION,001100000001001001
PLEASE,001100111100001001
BRIDGE,001100011100001001
FEEL,001100101100001001
FORCE,001100001100001001
READ,001100111000111110
LATER,001100011000111110
MERELY,001100001000111110
SOMETIMES,001100110001011110
COMMAND,001100011010011110
IMMEDIATELY,001100101010011110
SOCIETY,001100001010011110
IMPORTANT,001100100000011110
GLAD,001100000000011110
THIRD,001100111110110110
BROTHER,001100011110110110
GIRL,001100111010110110
BOY,001100111111111010
ESPECIALLY,001100011111111010
EVER,001100101111111010
MONEY,001100100111111010
SERVICE,001100000111111010
KILLED,001100111101111010
EITHER,001100011101111010
KNOWN,001100101101111010
HAPPINESS,001100101100111010
REASON,001100001100111010
FELL,001100000000111010
PRESENT,001100110011101010
CONTRARY,001100010011101010
SMOKE,001100000011110010
GREW,001100111110110010
REMEMBER,001100011110110010
BEST,001100101110110010
YEARS,001100001110110010
BELIEVE,001100100110110010
